Date,Product,Sales,Orders,Inventory,UnrealizedDemand,DeliveryTime,DeliveryPrice,StoragePrice,SalePrice
2023-01-01,Product_1,22,120,84,0,2,4.45,0.29,20
2023-01-01,Product_4,24,140,89,0,2,9.57,0.42,48
2023-01-01,Product_8,19,0,112,0,0,0.0,0.2,31
2023-01-01,Product_6,22,130,128,0,4,7.25,0.95,94
2023-01-01,Product_9,20,0,162,0,0,0.0,0.63,81
2023-01-01,Product_2,23,0,166,0,0,0.0,0.27,88
2023-01-01,Product_3,21,0,157,0,0,0.0,0.51,70
2023-01-01,Product_7,22,80,88,0,2,4.93,0.43,32
2023-01-01,Product_5,18,0,116,0,0,0.0,0.77,81
2023-01-02,Product_3,16,0,141,0,0,0.0,0.51,70
2023-01-02,Product_9,,0,146,0,0,0.0,0.63,81
2023-01-02,Product_9,16,0,146,0,0,0.0,0.63,81
2023-01-02,Product_3,,0,141,0,0,0.0,0.51,70
2023-01-02,Product_8,19,130,93,0,3,4.34,0.2,31
2023-01-02,Product_5,18,130,98,0,3,8.29,0.77,81
2023-01-02,Product_7,20,0,68,0,0,0.0,0.43,32
2023-01-02,Product_4,18,0,71,0,0,0.0,0.42,48
2023-01-02,Product_6,18,0,110,0,0,0.0,0.95,94
2023-01-02,Product_1,17,0,67,0,0,0.0,0.29,20
2023-01-02,Product_2,17,110,149,0,2,2.97,0.27,88
2023-01-03,Product_1,15,0,172,0,0,0.0,0.29,20
2023-01-03,Product_5,15,0,83,0,0,0.0,0.77,81
2023-01-03,Product_9,16,0,130,0,0,0.0,0.63,81
2023-01-03,Product_6,17,0,93,0,0,0.0,0.95,94
2023-01-03,Product_8,19,0,74,0,0,0.0,0.2,31
2023-01-03,Product_3,16,140,125,0,4,7.62,0.51,70
2023-01-03,Product_2,19,0,130,0,0,0.0,0.27,88
2023-01-03,Product_4,,0,195,0,0,0.0,0.42,48
2023-01-03,Product_4,16,0,195,0,0,0.0,0.42,48
2023-01-03,Product_7,17,0,131,0,0,0.0,0.43,32
2023-01-04,Product_2,20,0,220,0,0,0.0,0.27,88
2023-01-04,Product_7,17,70,114,0,2,4.93,0.43,32
2023-01-04,Product_6,,0,73,0,0,0.0,0.95,94
2023-01-04,Product_9,17,90,113,0,5,6.0,0.63,81
2023-01-04,Product_1,19,0,153,0,0,0.0,0.29,20
2023-01-04,Product_8,,0,55,0,0,0.0,0.2,31
2023-01-04,Product_4,,0,176,0,0,0.0,0.42,48
2023-01-04,Product_6,20,0,73,0,0,0.0,0.95,94
2023-01-04,Product_5,19,0,64,0,0,0.0,0.77,81
2023-01-04,Product_9,,90,113,0,5,6.0,0.63,81
2023-01-04,Product_7,,70,114,0,2,4.93,0.43,32
2023-01-04,Product_3,18,0,107,0,0,0.0,0.51,70
2023-01-04,Product_5,,0,64,0,0,0.0,0.77,81
2023-01-04,Product_8,19,0,55,0,0,0.0,0.2,31
2023-01-04,Product_4,19,0,176,0,0,0.0,0.42,48
2023-01-05,Product_7,,0,97,0,0,0.0,0.43,32
2023-01-05,Product_7,17,0,97,0,0,0.0,0.43,32
2023-01-05,Product_8,15,0,170,0,0,0.0,0.2,31
2023-01-05,Product_9,17,0,96,0,0,0.0,0.63,81
2023-01-05,Product_4,20,0,156,0,0,0.0,0.42,48
2023-01-05,Product_1,17,0,136,0,0,0.0,0.29,20
2023-01-05,Product_3,16,0,91,0,0,0.0,0.51,70
2023-01-05,Product_4,,0,156,0,0,0.0,0.42,48
2023-01-05,Product_6,18,0,185,0,0,0.0,0.95,94
2023-01-05,Product_5,18,0,176,0,0,0.0,0.77,81
2023-01-05,Product_2,16,0,204,0,0,0.0,0.27,88
2023-01-05,Product_8,,0,170,0,0,0.0,0.2,31
2023-01-06,Product_6,,0,168,0,0,0.0,0.95,94
2023-01-06,Product_2,,0,188,0,0,0.0,0.27,88
2023-01-06,Product_3,15,0,76,0,0,0.0,0.51,70
2023-01-06,Product_4,18,0,138,0,0,0.0,0.42,48
2023-01-06,Product_6,17,0,168,0,0,0.0,0.95,94
2023-01-06,Product_1,20,0,116,0,0,0.0,0.29,20
2023-01-06,Product_5,16,0,160,0,0,0.0,0.77,81
2023-01-06,Product_2,16,0,188,0,0,0.0,0.27,88
2023-01-06,Product_8,19,0,151,0,0,0.0,0.2,31
2023-01-06,Product_7,17,0,150,0,0,0.0,0.43,32
2023-01-06,Product_1,,0,116,0,0,0.0,0.29,20
2023-01-06,Product_9,18,0,78,0,0,0.0,0.63,81
2023-01-06,Product_7,,0,150,0,0,0.0,0.43,32
2023-01-07,Product_7,20,0,130,0,0,0.0,0.43,32
2023-01-07,Product_6,20,0,148,0,0,0.0,0.95,94
2023-01-07,Product_3,22,0,194,0,0,0.0,0.51,70
2023-01-07,Product_9,18,0,60,0,0,0.0,0.63,81
2023-01-07,Product_1,19,110,97,0,2,4.45,0.29,20
2023-01-07,Product_8,23,0,128,0,0,0.0,0.2,31
2023-01-07,Product_8,,0,128,0,0,0.0,0.2,31
2023-01-07,Product_2,23,0,165,0,0,0.0,0.27,88
2023-01-07,Product_5,21,0,139,0,0,0.0,0.77,81
2023-01-07,Product_4,21,180,117,0,2,9.57,0.42,48
2023-01-08,Product_4,18,0,99,0,0,0.0,0.42,48
2023-01-08,Product_5,20,0,119,0,0,0.0,0.77,81
2023-01-08,Product_2,20,100,145,0,2,2.97,0.27,88
2023-01-08,Product_6,20,150,128,0,4,7.25,0.95,94
2023-01-08,Product_1,,0,77,0,0,0.0,0.29,20
2023-01-08,Product_7,,170,109,0,2,4.93,0.43,32
2023-01-08,Product_9,21,0,39,0,0,0.0,0.63,81
2023-01-08,Product_7,21,170,109,0,2,4.93,0.43,32
2023-01-08,Product_1,20,0,77,0,0,0.0,0.29,20
2023-01-08,Product_3,19,0,175,0,0,0.0,0.51,70
2023-01-08,Product_2,,100,145,0,2,2.97,0.27,88
2023-01-08,Product_8,25,80,103,0,3,4.34,0.2,31
2023-01-09,Product_6,16,0,112,0,0,0.0,0.95,94
2023-01-09,Product_3,16,0,159,0,0,0.0,0.51,70
2023-01-09,Product_5,15,0,104,0,0,0.0,0.77,81
2023-01-09,Product_1,,0,168,0,0,0.0,0.29,20
2023-01-09,Product_9,20,130,109,0,5,6.0,0.63,81
2023-01-09,Product_1,19,0,168,0,0,0.0,0.29,20
2023-01-09,Product_4,15,0,264,0,0,0.0,0.42,48
2023-01-09,Product_7,20,0,89,0,0,0.0,0.43,32
